year,annual_cpi
2010,319.8
2011,330
2012,336.9
2013,342
2014,347.7
2015,348.3
2016,352.8
2017,360.3
2018,369.1
2019,375.8
2020,380.8
2021,399.2
2022,431.5
2023,449.3
